pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AK2110342,JUNEAU,6.5,5.317191123962402,0,75517,FALSE,"(0,10]","(0,10]"
AK2110342,JUNEAU,6.300000190734863,5.332223892211914,0,77465,FALSE,"(0,10]","(0,10]"
AK2110342,JUNEAU,6.400000095367432,5.256669521331787,0,78947,FALSE,"(0,10]","(0,10]"
AK2110342,JUNEAU,6.199999809265137,5.561651706695557,0,81490,FALSE,"(0,10]","(0,10]"
AK2110601,SKAGWAY,11.199999809265137,3.7137680053710938,0,73417,FALSE,"(0,10]","(10,20]"
AK2110601,SKAGWAY,8.800000190734863,1.545893669128418,0,73083,FALSE,"(0,10]","(0,10]"
AK2110619,HAINES,5.5,0.8416220545768738,1,49063,TRUE,"(0,10]","(0,10]"
AK2110619,HAINES,5.400000095367432,0.981354296207428,1,57434,TRUE,"(0,10]","(0,10]"
AK2110619,HAINES,5.699999809265137,1.1465603113174438,1,53922,TRUE,"(0,10]","(0,10]"
AK2110619,HAINES,7.5,1.1328526735305786,0,54267,FALSE,"(0,10]","(0,10]"
AK2120143,WRANGELL,8.300000190734863,3.1223268508911133,0,50389,FALSE,"(0,10]","(0,10]"
AK2120143,WRANGELL,8.800000190734863,2.252443790435791,0,50000,FALSE,"(0,10]","(0,10]"
AK2120193,CRAIG PUBLIC WORKS,19.700000762939453,4.99627161026001,1,47813,TRUE,"(0,10]","(10,20]"
AK2120193,CRAIG PUBLIC WORKS,19.200000762939453,6.3878326416015625,0,58164,FALSE,"(0,10]","(10,20]"
AK2120232,KETCHIKAN PUBLIC UTILITIES,10.800000190734863,5.341506004333496,2,51983,TRUE,"(0,10]","(10,20]"
AK2120232,KETCHIKAN PUBLIC UTILITIES,12.899999618530272,4.058441638946533,2,49313,TRUE,"(0,10]","(10,20]"
AK2120232,KETCHIKAN PUBLIC UTILITIES,13.899999618530272,4.409040451049805,5,50703,TRUE,"(0,10]","(10,20]"
AK2120232,KETCHIKAN PUBLIC UTILITIES,13.699999809265137,4.858548641204834,2,52266,TRUE,"(0,10]","(10,20]"
AK2130075,SITKA,7,4.935911655426025,0,62024,FALSE,"(0,10]","(0,10]"
AK2130075,SITKA,6.900000095367432,5.000563144683838,0,69798,FALSE,"(0,10]","(0,10]"
AK2130075,SITKA,7.400000095367432,4.950050354003906,0,66895,FALSE,"(0,10]","(0,10]"
AK2130075,SITKA,10,5.310229301452637,0,69405,FALSE,"(0,10]","(0,10]"
AK2130148,PETERSBURG,8.899999618530273,0.47716426849365234,0,64323,FALSE,"(0,10]","(0,10]"
AK2130148,PETERSBURG,7.800000190734863,4.163976669311523,0,70417,FALSE,"(0,10]","(0,10]"
AK2210906,MOA MUNICIPALITY OF ANCHORAGE,7.900000095367432,7.38144063949585,0,73004,FALSE,"(0,10]","(0,10]"
AK2210906,MOA MUNICIPALITY OF ANCHORAGE,7.800000190734863,7.531577110290527,0,75485,FALSE,"(0,10]","(0,10]"
AK2212021,GIRDWOOD WATER SYSTEM,7.900000095367432,7.38144063949585,0,73004,FALSE,"(0,10]","(0,10]"
AK2212021,GIRDWOOD WATER SYSTEM,7.800000190734863,7.531577110290527,0,75485,FALSE,"(0,10]","(0,10]"
AK2212021,GIRDWOOD WATER SYSTEM,7.699999809265137,7.7102274894714355,0,76495,FALSE,"(0,10]","(0,10]"
AK2212021,GIRDWOOD WATER SYSTEM,7.900000095367432,7.984432697296143,0,77454,FALSE,"(0,10]","(0,10]"
AK2225032,TALKEETNA WATER SYSTEM,18.100000381469727,5.3280110359191895,0,54706,FALSE,"(0,10]","(10,20]"
AK2225032,TALKEETNA WATER SYSTEM,11.100000381469728,6.09404182434082,0,59484,FALSE,"(0,10]","(10,20]"
AK2225032,TALKEETNA WATER SYSTEM,11.5,5.909771919250488,0,61383,FALSE,"(0,10]","(10,20]"
AK2225032,TALKEETNA WATER SYSTEM,11,6.595538139343262,0,59966,FALSE,"(0,10]","(10,20]"
AK2226020,PALMER WATER SYSTEM,18.100000381469727,5.3280110359191895,0,54706,FALSE,"(0,10]","(10,20]"
AK2226020,PALMER WATER SYSTEM,11.100000381469728,6.09404182434082,0,59484,FALSE,"(0,10]","(10,20]"
AK2226020,PALMER WATER SYSTEM,11.5,5.909771919250488,0,61383,FALSE,"(0,10]","(10,20]"
AK2226020,PALMER WATER SYSTEM,11,6.595538139343262,0,59966,FALSE,"(0,10]","(10,20]"
AK2240448,KENAI WATER SYSTEM,10.300000190734863,4.197601318359375,0,52701,FALSE,"(0,10]","(10,20]"
AK2240448,KENAI WATER SYSTEM,11.699999809265137,2.601074457168579,0,57544,FALSE,"(0,10]","(10,20]"
AK2240448,KENAI WATER SYSTEM,11,2.8243846893310547,0,59906,FALSE,"(0,10]","(10,20]"
AK2240448,KENAI WATER SYSTEM,9.399999618530272,2.496207475662231,0,63019,FALSE,"(0,10]","(0,10]"
AK2240456,HOMER WATER SYSTEM,7.900000095367432,4.346951007843018,0,52057,FALSE,"(0,10]","(0,10]"
AK2240456,HOMER WATER SYSTEM,8.5,4.6119914054870605,0,55603,FALSE,"(0,10]","(0,10]"
AK2240456,HOMER WATER SYSTEM,10.600000381469728,4.653465270996094,0,52535,FALSE,"(0,10]","(10,20]"
AK2240456,HOMER WATER SYSTEM,10.199999809265137,3.3980581760406494,0,53750,FALSE,"(0,10]","(10,20]"
AK2240757,SEWARD,14.5,4.196871280670166,0,43188,FALSE,"(0,10]","(10,20]"
AK2240757,SEWARD,4.099999904632568,2.8184893131256104,0,45156,FALSE,"(0,10]","(0,10]"
